param,coef_base,coef_new,diff,abs_diff,converged_base,converged_new,boot_se,z_diff_vs_bootse,ci_2.5,ci_97.5,p_boot,ratio
G_CAR:PURPOSE_2,-1.6621335225184082,-0.6337884056108476,1.0283451169075606,1.0283451169075606,False,False,0.3265217283144547,3.1493926061705126,-1.7038529027239455,-0.527165653178561,0.0664610439275521,1.0
G_SM:PURPOSE_2,-1.167146231126421,-0.3732533968480287,0.7938928342783922,0.7938928342783922,False,False,0.2327801280057775,3.410483708724003,-1.2022821283431184,-0.327035727612475,3.6656309099214472e-09,1.0
G_CAR:AGE_2,0.056709634089136214,-0.6203254507616885,-0.6770350848508248,0.6770350848508248,False,False,0.3237989909081767,-2.0909116577290976,-1.809105405876808,-0.5852053332441527,0.1710874721823083,1.0
G_CAR:AGE_3,0.8034277563173967,0.2380246777251277,-0.565403078592269,0.565403078592269,False,False,0.3224954818199832,-1.7532124028574039,-1.12199977827417,0.0006676604675771,0.1202993992682346,1.0
G_CAR:AGE_4,1.077561971066367,0.5138270706999587,-0.5637349003664084,0.5637349003664084,False,False,0.3556159443846428,-1.5852351652620478,-0.780913112639574,0.5027860871486499,0.0072271355771189,1.0
G_SM:PURPOSE_4,-0.31016443965187457,0.18710072918868736,0.49726516884056193,0.49726516884056193,False,False,0.3019472817981741,1.6468608886929512,-0.4489914473446221,0.663381000327015,0.1729902044485036,1.0
G_CAR:INCOME_3,-0.8943139603337653,-0.4018121837739522,0.4925017765598131,0.4925017765598131,False,False,0.3549548977847465,1.3875052285050549,-0.774272486338894,0.4928015232670665,0.000419980901229,1.0
G_CAR:PURPOSE_7,-7.903878443980954,-7.449331484521321,0.4545469594596332,0.4545469594596332,False,False,1.292780587463385,0.3516041034863599,-4.379018871779595,-0.5003796037109528,4.0446557214579565e-10,1.0
G_CAR:PURPOSE_6,0.5593790480543233,0.135965802347432,-0.42341324570689126,0.42341324570689126,False,False,0.6100449685744004,-0.6940689088811857,-2.30100203062448,0.1121648726420501,0.0137717796513199,1.0
G_CAR:INCOME_1,0.13640323800664075,0.48438604285028614,0.3479828048436454,0.3479828048436454,False,False,0.3670926678907167,0.9479426730125803,0.4630400091660083,1.6395065190038187,0.4942633847656723,1.0
G_CAR:INCOME_2,-0.08179434647545104,0.26443615467409887,0.3462305011495499,0.3462305011495499,False,False,0.3396429017497268,1.0193956634037868,0.2214115539613804,1.3673665769541077,1.0,1.0
G_SM:PURPOSE_6,0.23702041205429586,0.5740547648081785,0.33703435275388266,0.33703435275388266,False,False,0.8678954212342418,0.38833521240909774,-2.2332995848175345,0.5541040208108283,0.7851312846765364,1.0
ASC_SM,1.1575668796748357,0.8469573490881538,-0.31060953058668195,0.31060953058668195,False,False,0.3764503253107215,-0.825100975355262,1.0062765886570066,2.339825831318177,1.744763430489016e-05,1.0
G_SM:AGE_5,-0.23966537404275126,0.06853347835742077,0.30819885240017203,0.30819885240017203,False,False,0.3063237045566415,1.0061214584951712,-1.8324433901761643,-0.7353989613501156,0.58874365543336,1.0
G_SM:AGE_4,0.8970373499999118,0.6214435148530979,-0.2755938351468139,0.2755938351468139,False,False,0.2989465051920323,-0.9218834485781411,-0.913418385044376,0.2343457753161744,0.0382404172485735,1.0
G_SM:PURPOSE_7,-1.1659554672031933,-0.9142738303344249,0.25168163686876843,0.25168163686876843,False,False,0.4037084600901061,0.6234242324587256,-1.2953974926924317,0.0843865639565245,0.1259984917285073,1.0
G_SM:AGE_2,-0.12211173973553924,-0.3513976525055265,-0.22928591276998728,0.22928591276998728,False,False,0.2812980584326921,-0.8150995212960203,-1.7155394121037897,-0.709131117585963,0.0878930727566944,1.0
G_SM:AGE_3,0.5308777217692654,0.32855195780366486,-0.20232576396560054,0.20232576396560054,False,False,0.2726463369279436,-0.742081358016089,-1.2319825508544082,-0.2498503830920149,0.0100244314905255,1.0
G_CAR:PURPOSE_3,0.22058215524435307,0.02001264276251959,-0.20056951248183347,0.20056951248183347,False,False,0.2233526666796087,-0.8979947070412334,-0.1850292192886873,0.6609707549969385,2.220446049250313e-16,1.0
G_CAR:PURPOSE_4,1.1325169244776851,1.3326281337108277,0.20011120923314252,0.20011120923314252,False,False,0.3202246443222201,0.6249088344112089,0.8808194810100836,2.047426476428902,0.0028269228299284,1.0
G_SM:INCOME_3,-1.3256133769696106,-1.1467629862120807,0.17885039075752984,0.17885039075752984,False,False,0.2703584730219368,0.6615305551863284,-1.4775126968858892,-0.6159266371665495,0.0029971462368045,1.0
G_SM:INCOME_1,0.14907324052112583,0.3262110926904067,0.17713785216928088,0.17713785216928088,False,False,0.2325830132635329,0.7616113046423182,0.2657443424274787,1.1036015400806216,1.0,1.0
G_SM:PURPOSE_3,-0.7708656548794405,-0.5949588712234979,0.1759067836559426,0.1759067836559426,False,False,0.2157115151947104,0.8154723844814757,-0.9841781137277356,-0.1560788847011189,0.0099788485772975,1.0
G_CAR:AGE_6,0.2918492155293806,0.45753800404831463,0.16568878851893404,0.16568878851893404,False,False,0.3127421803570291,0.5297935453726846,0.4030145520940925,1.5443868506657696,0.0578839865705391,1.0
G_SM:PURPOSE_5,0.6878779940500811,0.5505362254529855,-0.13734176859709557,0.13734176859709557,False,False,0.6724171929753733,-0.2042508282534733,-1.2636232989244554,1.244270637103551,0.7389408654492242,1.0
G_SM:INCOME_2,-0.18459673855734843,-0.06520366125042842,0.11939307730692,0.11939307730692,False,False,0.2552838274762462,0.46768758713487,-0.226757770690056,0.693881120888484,6.235906531149027e-07,1.0
G_CAR:PURPOSE_5,-0.6953820966830125,-0.8071521129337457,-0.11177001625073313,0.11177001625073313,False,False,0.9638119010347675,-0.1159666280637691,-5.355966104964148,-1.9930948541793585,0.6948877301504957,1.0
ASC_CAR,-0.383377841565768,-0.4875350992743287,-0.10415725770856071,0.10415725770856071,False,False,0.3580046269363217,-0.29093830043455604,-0.7984175218101697,0.6606827107811353,0.89057873476561,1.0
G_CAR:AGE_5,-0.4584893702840166,-0.36725547279870807,0.09123389748530852,0.09123389748530852,False,False,0.3289246595978815,0.27737019655760753,-2.249454711248408,-1.1185261051749966,0.0038058658772965,1.0
G_CAR:PURPOSE_8,-1.014459396534619,-1.0970902185256406,-0.08263082199102167,0.08263082199102167,False,False,0.875478798664997,-0.09438357858239861,-4.241013884275986,-1.1506787130079668,0.2798922088833655,1.0
G_SM:MALE,0.43201271942008623,0.3683976800521953,-0.06361503936789092,0.06361503936789092,False,False,0.1483828865212856,-0.42872221223951806,0.3011689177427722,0.7905450468557661,0.1874523895114674,1.0
G_CAR:MALE,0.5221725326600003,0.4937247747506728,-0.02844775790932752,0.02844775790932752,False,False,0.2092800362307172,-0.13593154140113858,0.1558267160724301,0.9169802770266504,1.0,1.0
B_SEATS,-0.024098998153450773,-0.006187870344223199,0.017911127809227573,0.017911127809227573,False,False,0.0927219515291675,0.19317030664085277,-0.0561732396319651,0.2611653498113429,0.3881410985069919,1.0
G_SM:AGE_6,0.34466020871621433,0.3595644472068055,0.014904238490591193,0.014904238490591193,False,False,0.1810350098003164,0.08232793483995572,0.4143866640312079,1.00064488373463,4.1618417601085875e-09,1.0
G_SM:PURPOSE_8,-0.6749508052473572,-0.6736625473762016,0.001288257871155607,0.001288257871155607,False,False,0.5148999573688698,0.00250195761859951,-2.85006474813698,-0.8847307895433276,0.2590382273927516,1.0
B_CO,-0.0027251883422322034,-0.0019363679772111484,0.000788820365021055,0.000788820365021055,False,False,0.000382657620919,2.0614259899661858,-0.0032183941006696,-0.0017319106565326,0.0,1.0
B_TT,-0.007036007017094391,-0.007467550875097521,-0.00043154385800312986,0.00043154385800312986,False,False,0.0015752868755443,-0.27394620288067906,-0.0100047159841802,-0.0046364060816341,0.0,1.0
B_HE,-0.0010517966578883471,-0.0012338085074215656,-0.00018201184953321845,0.00018201184953321845,False,False,0.0001878460730545,-0.968941466667824,-0.0015253319274254,-0.0008921085537391,0.0,1.0
G_SM:PURPOSE_9,-2.8785861735029075,-2.8785861735029075,0.0,0.0,False,False,1.3550430849800884e-15,0.0,-2.8785861735029075,-2.8785861735029075,1.0,1.0
G_SM:INCOME_4,-0.5303267503196865,-0.5303267503196865,0.0,0.0,False,False,3.387607712450221e-16,0.0,-0.5303267503196865,-0.5303267503196865,1.0,1.0
G_CAR:INCOME_4,-0.7040124835396846,-0.7040124835396846,0.0,0.0,False,False,3.387607712450221e-16,0.0,-0.7040124835396846,-0.7040124835396846,1.0,1.0
G_CAR:PURPOSE_9,-1.541894710255738,-1.541894710255738,0.0,0.0,False,False,9.033620566533925e-16,0.0,-1.541894710255738,-1.541894710255738,1.0,1.0
param_42,-7.46644162402087,-7.46644162402087,0.0,0.0,False,False,2.710086169960177e-15,0.0,-7.46644162402087,-7.46644162402087,1.0,1.0
param_43,0.0,0.0,0.0,0.0,False,False,0.0,,0.0,0.0,1.0,1.0
